Country,Year,Per Capita Beef Consump.
Austria,2000,19.507198
Austria,2001,18.675701
Austria,2002,18.914215
Austria,2003,18.664463
Austria,2004,18.283525
Austria,2005,17.841213
Austria,2006,18.205616
Austria,2007,17.860197
Austria,2008,17.890211
Austria,2009,17.405983
Austria,2010,17.490005
Austria,2011,17.389994
Austria,2012,17.380001
Austria,2013,17.159998
Austria,2014,14.060014
Austria,2015,14.210005
Austria,2016,15.97
Austria,2017,15.510002
Austria,2018,16.829994
Austria,2019,16.220007
Austria,2020,15.010014
Austria,2021,14.12001
Austria,2022,14.280003
Belgium,2000,19.48089
Belgium,2001,20.738174
Belgium,2002,19.601423
Belgium,2003,18.725756
Belgium,2004,19.647074
Belgium,2005,18.772015
Belgium,2006,20.73747
Belgium,2007,20.691757
Belgium,2008,19.263166
Belgium,2009,18.352901
Belgium,2010,18.200018
Belgium,2011,16.11001
Belgium,2012,15.759996
Belgium,2013,15.550005
Belgium,2014,12.640008
Belgium,2015,12.269999
Belgium,2016,11.8399935
Belgium,2017,11.679997
Belgium,2018,12.099992
Belgium,2019,14.529996
Belgium,2020,14.04001
Belgium,2021,13.269997
Belgium,2022,13.070006
Bulgaria,2000,8.780528
Bulgaria,2001,11.099155
Bulgaria,2002,6.6768303
Bulgaria,2003,7.4024606
Bulgaria,2004,9.574524
Bulgaria,2005,12.57029
Bulgaria,2006,13.798699
Bulgaria,2007,5.0739684
Bulgaria,2008,5.118453
Bulgaria,2009,4.932169
Bulgaria,2010,4.8100038
Bulgaria,2011,4.399998
Bulgaria,2012,3.8599944
Bulgaria,2013,3.7799973
Bulgaria,2014,3.97
Bulgaria,2015,3.8800027
Bulgaria,2016,3.9499967
Bulgaria,2017,3.699999
Bulgaria,2018,3.3100023
Bulgaria,2019,4.0000024
Bulgaria,2020,3.329997
Bulgaria,2021,3.9700046
Bulgaria,2022,3.909999
Croatia,2000,7.0547295
Croatia,2001,5.6452394
Croatia,2002,6.03389
Croatia,2003,6.5038104
Croatia,2004,7.9423676
Croatia,2005,7.4880495
Croatia,2006,8.959301
Croatia,2007,8.857533
Croatia,2008,9.832303
Croatia,2009,10.475029
Croatia,2010,9.39
Croatia,2011,9.249985
Croatia,2012,12.840022
Croatia,2013,12.629991
Croatia,2014,11.619987
Croatia,2015,11.929995
Croatia,2016,12.360005
Croatia,2017,13.050007
Croatia,2018,13.720008
Croatia,2019,13.209973
Croatia,2020,12.160012
Croatia,2021,13.910011
Croatia,2022,14.499996
Cyprus,2000,6.3883834
Cyprus,2001,5.3226695
Cyprus,2002,5.3920608
Cyprus,2003,5.461244
Cyprus,2004,4.871011
Cyprus,2005,5.602882
Cyprus,2006,5.019233
Cyprus,2007,5.628496
Cyprus,2008,5.636578
Cyprus,2009,6.1563025
Cyprus,2010,6.709964
Cyprus,2011,6.7899823
Cyprus,2012,6.629983
Cyprus,2013,6.2399526
