Entity,Code,Year,Other meats,Sheep and goat,Beef and buffalo,Pigmeat,Poultry
Austria,AUT,1961,1.9121401,0.49054906,18.240416,41.025917,4.0645494
Austria,AUT,1962,1.7122592,0.48063412,20.186634,42.085526,5.8477154
Austria,AUT,1963,1.5026126,0.41071412,19.794418,41.712524,6.3510427
Austria,AUT,1964,1.4427129,0.36067823,19.356396,43.501797,7.2336016
Austria,AUT,1965,1.0621266,0.37074235,18.537117,43.96804,6.36274
Austria,AUT,1966,1.0813979,0.3304271,19.665419,41.804035,7.17928
Austria,AUT,1967,1.0896612,0.33989432,20.403656,42.48679,7.237749
Austria,AUT,1968,1.039912,0.30997378,21.078217,42.88637,7.4193726
Austria,AUT,1969,0.9416037,0.32054594,21.727007,43.844677,7.542847
Austria,AUT,1970,0.9930073,0.29088092,22.417892,44.32423,8.174756
Austria,AUT,1971,0.99334836,0.26087937,22.31522,46.396393,8.4785795
Austria,AUT,1972,0.99206537,0.2705633,22.106022,47.91976,8.768254
Austria,AUT,1973,1.0604042,0.28010678,22.698654,48.09834,9.483615
Austria,AUT,1974,0.9914381,0.32046482,25.24662,47.78932,8.572434
Austria,AUT,1975,1.0054326,0.38206437,25.005108,49.135487,8.827698
Austria,AUT,1976,1.157988,0.42291734,25.908722,52.300777,9.545848
Austria,AUT,1977,1.1555724,0.40193823,24.086147,53.859722,9.88768
Austria,AUT,1978,1.0935746,0.46150857,25.38297,54.718864,10.353845
Austria,AUT,1979,1.1229163,0.5414061,24.884628,57.098293,10.677731
Austria,AUT,1980,1.0709347,0.5404717,26.132807,56.349174,10.739371
Austria,AUT,1981,1.0475649,0.5487245,25.620445,61.826286,10.914628
Austria,AUT,1982,0.9173179,0.49854234,24.348808,60.64269,10.160293
Austria,AUT,1983,0.9496022,0.56976134,23.760048,60.444683,11.195311
Austria,AUT,1984,0.9507897,0.6505403,23.619617,61.601166,11.929909
Austria,AUT,1985,0.99152994,0.6109427,21.15264,60.954056,11.477711
Austria,AUT,1986,0.7915241,0.68131185,22.51335,60.887238,12.2235365
Austria,AUT,1987,0.6816776,0.791949,21.974077,62.132904,13.152368
Austria,AUT,1988,0.7822266,0.82234085,21.481148,68.3646,12.565769
Austria,AUT,1989,0.7910984,1.0013903,21.870365,67.27341,13.358547
Austria,AUT,1990,0.8489345,1.0986211,21.722734,66.57644,13.483077
Austria,AUT,1991,1.2250624,1.1254637,23.355864,66.342606,14.222674
Austria,AUT,1992,1.2924223,1.1532383,24.82445,67.17613,14.624256
Austria,AUT,1993,0.96564627,1.0950627,22.996319,65.43498,14.972494
Austria,AUT,1994,0.909982,1.2099761,21.929567,71.35859,14.779707
Austria,AUT,1995,0.9842746,1.1449724,20.268023,57.26871,15.386823
Austria,AUT,1996,1.1066439,1.1670063,21.992033,59.738647,15.553376
Austria,AUT,1997,1.2267655,1.1764882,20.26174,58.27136,16.07867
Austria,AUT,1998,1.2347075,1.1544012,19.986198,57.80037,16.482841
Austria,AUT,1999,1.1119587,1.0618705,18.2221,57.421146,16.819628
Austria,AUT,2000,1.1209884,1.2711207,19.507198,60.35321,17.075054
Austria,AUT,2001,0.95079935,1.2110182,18.675701,56.11718,17.905052
Austria,AUT,2002,0.8911409,1.1414614,18.914215,56.031734,17.282125
Austria,AUT,2003,1.0023879,1.1226745,18.664463,54.730377,16.810045
Austria,AUT,2004,1.01241,1.1126487,18.283525,56.99568,18.01288
Austria,AUT,2005,1.0612618,1.151369,17.841213,55.726257,18.461952
Austria,AUT,2006,1.0008584,1.1409786,18.205616,53.87621,17.044619
Austria,AUT,2007,0.8514396,0.98165977,17.860197,56.19501,17.699926
Austria,AUT,2008,0.4810813,1.1826582,17.890211,52.377728,17.158567
Austria,AUT,2009,0.65209734,1.1336461,17.405983,55.297855,17.716984
Austria,AUT,2010,1.2000004,1.1300004,17.490005,67.580025,18.850006
Austria,AUT,2011,1.2499996,1.1399996,17.389994,65.50998,18.699995
Austria,AUT,2012,1.3700001,1.1400001,17.380001,48.380005,18.960001
Austria,AUT,2013,1.4599999,1.1399999,17.159998,52.599995,18.729998
Austria,AUT,2014,1.3300014,1.140001,14.060014,47.690044,19.18002
Austria,AUT,2015,1.1900005,1.1400003,14.210005,53.11002,18.940006
Austria,AUT,2016,1.19,1.14,15.97,49.36,18.22
Austria,AUT,2017,1.1800001,1.1200001,15.510002,49.11001,18.240002
Austria,AUT,2018,1.3499997,1.1399996,16.829994,48.549984,18.649994
Austria,AUT,2019,0.5900002,1.1700004,16.220007,47.08002,15.7000065
Austria,AUT,2020,0.3300003,1.0500009,15.010014,45.450043,15.950014
Austria,AUT,2021,0.30000022,0.9600007,14.12001,43.330032,16.420012
Austria,AUT,2022,0.5200001,0.9900002,14.280003,42.230007,18.080004
Austria,AUT,2023,0.4599998,0.9999995,13.849994,40.85998,17.539993
Belgium,BEL,2000,1.602541,2.1433988,19.48089,38.68133,19.631128
Belgium,BEL,2001,2.5134146,1.8625305,20.738174,39.14318,22.150095
Belgium,BEL,2002,2.001166,1.4908688,19.601423,35.860897,25.324757
Belgium,BEL,2003,1.8815832,1.7915074,18.725756,35.56993,21.918442
Belgium,BEL,2004,1.6130438,1.6431005,19.647074,33.87392,21.841213
Belgium,BEL,2005,1.7749182,1.6646125,18.772015,34.69614,25.069466
Belgium,BEL,2006,1.4654748,1.4755123,20.73747,32.160145,22.855385
Belgium,BEL,2007,2.08023,1.4772649,20.691757,34.14793,24.932613
Belgium,BEL,2008,1.9414053,1.579278,19.263166,33.1246,13.086883
Belgium,BEL,2009,2.1798465,1.336035,18.352901,33.631916,11.140322
Belgium,BEL,2010,1.3500013,1.4100014,18.200018,36.070034,11.930012
Belgium,BEL,2011,1.3400007,1.4800009,16.11001,35.00002,12.690006
Belgium,BEL,2012,2.2299995,1.2199998,15.759996,40.219994,12.659997
Belgium,BEL,2013,2.2500007,1.3100003,15.550005,38.450012,12.200004
Belgium,BEL,2014,1.3600008,1.3400009,12.640008,31.150019,12.500008
Belgium,BEL,2015,1.7499996,1.3099997,12.269999,28.449995,11.499998
Belgium,BEL,2016,1.4799992,1.1199993,11.8399935,41.34997,12.609992
Belgium,BEL,2017,1.8399996,1.0599997,11.679997,28.689993,11.379997
Belgium,BEL,2018,1.9099985,1.1499991,12.099992,31.289978,11.679992
Belgium,BEL,2019,1.9599996,1.1599997,14.529996,31.739992,12.769998
Belgium,BEL,2020,1.5000011,1.2800009,14.04001,32.94002,15.510012
Belgium,BEL,2021,2.0999994,0.87999976,13.269997,35.65999,14.059997
Belgium,BEL,2022,2.0200012,0.79000044,13.070006,32.40002,16.300009
Belgium,BEL,2023,2.0499997,0.95999986,13.149998,30.549995,13.249998
Bulgaria,BGR,1961,0.9096208,6.227404,7.1370244,14.473966,3.6684706
